zip_code_prefix,state,lat,lng,zip_code_prefix_1_digits,zip_code_prefix_2_digits,zip_code_prefix_3_digits,zip_code_prefix_4_digits,x,y
01001,SP,-23.550189776551765,-46.634023555904214,0,01,010,0100,-5191275.755884782,-2698691.784544999
01002,SP,-23.54814573176355,-46.63497921074498,0,01,010,0100,-5191382.138895031,-2698443.5706607266
01003,SP,-23.54899372481316,-46.635731309975874,0,01,010,0100,-5191465.862198439,-2698546.5442806804
01004,SP,-23.549798842277003,-46.6347569437897,0,01,010,0100,-5191357.396250748,-2698644.312040729
01005,SP,-23.549456199830747,-46.63673294803691,0,01,010,0100,-5191577.364037353,-2698602.7038967023
01006,SP,-23.550101811452866,-46.636136735174176,0,01,010,0100,-5191510.993925069,-2698681.1026257747
01007,SP,-23.550046202351673,-46.63725145963765,0,01,010,0100,-5191635.084484718,-2698674.349815738
01008,SP,-23.546001749383464,-46.63588592135779,0,01,010,0100,-5191483.073458745,-2698183.2252312684
01009,SP,-23.546835208320854,-46.6364906953122,0,01,010,0100,-5191550.396587395,-2698284.4322866853
01010,SP,-23.546389438369268,-46.635226081509046,0,01,010,0101,-5191409.620422778,-2698230.3022885723
01011,SP,-23.546908640251115,-46.63558202636042,0,01,010,0101,-5191449.244022383,-2698293.349168768
01012,SP,-23.547789733146864,-46.63485900505736,0,01,010,0101,-5191368.757659094,-2698400.3411809364
01013,SP,-23.547142028323904,-46.63423580006205,0,01,010,0101,-5191299.382796356,-2698321.6896515205
01014,SP,-23.545912805690424,-46.633615371244936,0,01,010,0101,-5191230.316976362,-2698172.424821925
01015,SP,-23.547665749383476,-46.631558570722675,0,01,010,0101,-5191001.35498956,-2698385.2856622958
01016,SP,-23.54897640702995,-46.63235192955856,0,01,010,0101,-5191089.671291187,-2698544.4413383724
01017,SP,-23.549531271947856,-46.63102384555222,0,01,010,0101,-5190941.829655871,-2698611.82012943
01018,SP,-23.55092851790901,-46.63243146837754,0,01,010,0101,-5191098.5255120145,-2698781.492854529
01019,SP,-23.551774137807588,-46.63089338270139,0,01,010,0101,-5190927.306597749,-2698884.180470461
01020,SP,-23.55233565155142,-46.63004970984574,0,01,010,0102,-5190833.389365062,-2698952.368099905
01021,SP,-23.543000459064807,-46.632143233862486,0,01,010,0102,-5191066.43939257,-2697818.783370211
01022,SP,-23.544921826153427,-46.63193133561195,0,01,010,0102,-5191042.85098722,-2698052.090930545
01023,SP,-23.542330784361457,-46.63137340438761,0,01,010,0102,-5190980.742367429,-2697737.466982042
01024,SP,-23.54140143278026,-46.62990400057277,0,01,010,0102,-5190817.169082991,-2697624.6195740467
01025,SP,-23.540291945676326,-46.63092805941945,0,01,010,0102,-5190931.166792346,-2697489.9000815526
01026,SP,-23.53965712727096,-46.63188421270581,0,01,010,0102,-5191037.605289305,-2697412.8177558896
01027,SP,-23.538082328385332,-46.630668675067795,0,01,010,0102,-5190902.2922584,-2697221.600645838
01028,SP,-23.535932541180532,-46.63355514575826,0,01,010,0102,-5191223.612705852,-2696960.5703135366
01029,SP,-23.54137304898053,-46.633415988443026,0,01,010,0102,-5191208.121784381,-2697621.1730564632
01030,SP,-23.539549291753428,-46.63302325151353,0,01,010,0103,-5191164.402509373,-2697399.7239499413
01031,SP,-23.541905853440447,-46.63508761691669,0,01,010,0103,-5191394.206614865,-2697685.8692380385
01032,SP,-23.540124454559958,-46.635193543797676,0,01,010,0103,-5191405.998341316,-2697469.562568326
01033,SP,-23.5392714370778,-46.63587808421484,0,01,010,0103,-5191482.201031983,-2697365.9858091767
01034,SP,-23.542515317419948,-46.63736744880091,0,01,010,0103,-5191647.99633931,-2697759.874180731
01035,SP,-23.541614488738958,-46.64154914252655,0,01,010,0103,-5192113.500355502,-2697650.4900279273
01036,SP,-23.54164845233629,-46.64144327735932,0,01,010,0103,-5192101.715498993,-2697654.6140829828
01037,SP,-23.545411016454086,-46.63892437204837,0,01,010,0103,-5191821.312242421,-2698111.4928233004
01038,SP,-23.543907379627683,-46.63999380609391,0,01,010,0103,-5191940.3610958075,-2697928.9083999423
01039,SP,-23.54137085777194,-46.639165288851196,0,01,010,0103,-5191848.130978235,-2697620.9069878566
01040,SP,-23.541028179008823,-46.638324694969405,0,01,010,0104,-5191754.556495351,-2697579.2971009575
01041,SP,-23.54390458746036,-46.64004648644473,0,01,010,0104,-5191946.225445637,-2697928.5693530855
01042,SP,-23.544852949531748,-46.640410456031695,0,01,010,0104,-5191986.742354721,-2698043.7273284732
01043,SP,-23.545765991186382,-46.64150246454141,0,01,010,0104,-5192108.304185965,-2698154.5971911484
01044,SP,-23.545598238423416,-46.641452670153164,0,01,010,0104,-5192102.76110002,-2698134.2270597196
01045,SP,-23.542345366178562,-46.64252697570119,0,01,010,0104,-5192222.3522465825,-2697739.237599539
01046,SP,-23.545930039168788,-46.6439975177819,0,01,010,0104,-5192386.052242198,-2698174.5174781177
01047,SP,-23.54618760708176,-46.64106743356166,0,01,010,0104,-5192059.876758819,-2698205.793906464
01048,SP,-23.54711318884073,-46.63983987489639,0,01,010,0104,-5191923.225553283,-2698318.187649463
01049,SP,-23.547011236746005,-46.63916570493306,0,01,010,0104,-5191848.177296257,-2698305.8075292716
01050,SP,-23.549229163580517,-46.64303023455156,0,01,010,0105,-5192278.374765544,-2698575.1342344107
01101,SP,-23.528286860378213,-46.631957535031056,0,01,011,0110,-5191045.767493214,-2696032.255037588
01102,SP,-23.525571406955734,-46.63028748439394,0,01,011,0110,-5190859.858306691,-2695702.5659341966
01103,SP,-23.53546844605214,-46.63029077338347,0,01,011,0110,-5190860.224435331,-2696904.219758606
01104,SP,-23.534952165368537,-46.62957039061347,0,01,011,0110,-5190780.031792199,-2696841.533053164
01105,SP,-23.53409398177586,-46.62907768017333,0,01,011,0110,-5190725.183516894,-2696737.333103861
01106,SP,-23.53022077513783,-46.6282212595308,0,01,011,0110,-5190629.847207062,-2696267.0599807515
01107,SP,-23.52608789203137,-46.629589887186604,0,01,011,0110,-5190782.202140792,-2695765.2729861746
01108,SP,-23.527232171325497,-46.630354418199865,0,01,011,0110,-5190867.309343884,-2695904.202138827
01109,SP,-23.524624899587646,-46.627103243360565,0,01,011,0110,-5190505.390216293,-2695587.6500157197
01120,SP,-23.530162529753113,-46.6395114116631,0,01,011,0112,-5191886.661193409,-2696259.9881066396
01121,SP,-23.52786665899882,-46.635256920492864,0,01,011,0112,-5191413.053402753,-2695981.2370296977
01122,SP,-23.531130596538613,-46.638324826141904,0,01,011,0112,-5191754.571097407,-2696377.5265200343
01123,SP,-23.5291645437106,-46.63658239267475,0,01,011,0112,-5191560.604291101,-2696138.817933833
01124,SP,-23.528221233825747,-46.63309540109692,0,01,011,0112,-5191172.434164257,-2696024.287094962
01125,SP,-23.527288449571635,-46.64016432350875,0,01,011,0112,-5191959.343007599,-2695911.035020235
01126,SP,-23.527066549337565,-46.6391527868084,0,01,011,0112,-5191846.739257198,-2695884.0935795633
01127,SP,-23.525480803366627,-46.64159548852642,0,01,011,0112,-5192118.659568607,-2695691.5656727464
01128,SP,-23.523786738657147,-46.642209664552546,0,01,011,0112,-5192187.029331093,-2695485.8891806873
